store_name,website,status,pages_checked,manual_decision,recommended_action
Criminal Records,https://www.criminalrecordsatl.com/,no_email_found,13,,verify_manually
Crimson Dragon Games,https://www.crimsondragongames.com/,no_email_found,13,,verify_manually
Critical Hit Games,https://www.criticalhitaz.com/,no_email_found,13,,verify_manually
D & J Hobby & Toy,https://www.djhobbytoys.com/,no_email_found,13,,verify_manually
D4 Seasons,https://www.d4seasons.com/,no_email_found,13,,verify_manually
Dallas Games Marathon,https://www.dallasgamesmarathon.com/,no_email_found,13,,verify_manually
Dice Cafe,https://www.dicecafestl.com/,no_email_found,13,,verify_manually
Dice City Games,https://www.dicecitygames.com/,contact_form_only,13,,verify_manually
Disney Springs Gift Shop,https://www.disneysprings.com/,no_email_found,13,,verify_manually
Diversions Puzzles & Games,https://www.diversionspuzzles.com/,no_email_found,13,,verify_manually
Doc's Comics & Games,https://www.docscomics.com/,no_email_found,13,,verify_manually
Doodlets,https://doodlets.monkey-factory.com/,no_email_found,13,,verify_manually
Dr. No's Comics & Games,https://www.drnoscomics.com/,no_email_found,13,,verify_manually
Dragon's Keep Games,https://www.dragonskeepgames.com/,no_email_found,13,,verify_manually
Eastern National / America's National Parks,https://www.eparks.com/,no_email_found,13,,verify_manually
Eastside Gamers,https://www.eastsidegamers.com/,contact_form_only,13,,verify_manually
Element Toys,https://www.elementtoys.com/,no_email_found,13,,verify_manually
Eternal Games,https://www.eternalgames.com/,no_email_found,13,,verify_manually
Eugene Toy and Hobby,https://www.eugenetoyandhobby.com/,contact_form_only,13,,verify_manually
Eureka! Puzzle Shop,https://www.eurekapuzzleshop.com/,no_email_found,13,,verify_manually
Event Horizon Games,https://www.eventhz.com/,no_email_found,13,,verify_manually
Evolution Games,https://www.evolutiongamesmi.com/,no_email_found,13,,verify_manually
Fantasy Shop,https://www.fantasyshoponline.com/,no_email_found,13,,verify_manually
Finnegan's Toys & Gifts,https://www.finnegans toys.com/,no_email_found,13,,verify_manually
Fun4All Gaming Lounge,https://www.fun4allgr.com/,no_email_found,13,,verify_manually
G-Mart Comics,https://www.gmartcomics.com/,no_email_found,13,,verify_manually
Game Cafe,https://www.gamecafepaloalto.com/,no_email_found,13,,verify_manually
Game Depot,https://www.gamedepotaz.com/,no_email_found,13,,verify_manually
Game Forge,https://www.gameforgelv.com/,no_email_found,13,,verify_manually
Game Galaxy,https://www.gamegalaxysa.com/,no_email_found,13,,verify_manually
