store_name,website,status,pages_checked,manual_decision,recommended_action
D4 Seasons,https://www.d4seasons.com/,no_email_found,13,,verify_manually
Dallas Games Marathon,https://www.dallasgamesmarathon.com/,no_email_found,13,,verify_manually
Dice Cafe,https://www.dicecafestl.com/,no_email_found,13,,verify_manually
Dice City Games,https://www.dicecitygames.com/,contact_form_only,13,,verify_manually
Disney Springs Gift Shop,https://www.disneysprings.com/,no_email_found,13,,verify_manually
Diversions Puzzles & Games,https://www.diversionspuzzles.com/,no_email_found,13,,verify_manually
Doc's Comics & Games,https://www.docscomics.com/,no_email_found,13,,verify_manually
Doodlets,https://doodlets.monkey-factory.com/,no_email_found,13,,verify_manually
Dr. No's Comics & Games,https://www.drnoscomics.com/,no_email_found,13,,verify_manually
Dragon's Keep Games,https://www.dragonskeepgames.com/,no_email_found,13,,verify_manually
